,0
0,16.730903594400466
1,10.894386267700282
2,19.49965775377747
3,15.090032914839005
4,10.817456254646954
5,12.729914171295775
6,1.0947406909157902
7,16.304003696050536
8,13.851658431540082
9,14.39499813418134
10,14.058264360722346
11,9.400426025803162
12,13.250743658001147
13,13.880326052637471
14,15.953295993451734
15,16.941123824851296
16,16.815052081862454
17,14.045241134721094
18,6.416420147690255
19,5.852111112949286
20,11.703625182169796
21,17.29965354810001
22,17.216226698907626
23,13.314451108655346
24,14.80981672784934
25,21.931133412794637
26,13.01838761738768
27,31.695337965960434
28,33.00021044252719
29,28.408867303690784
30,31.54078638505971
31,28.265912085037257
32,26.408976283859857
33,20.894094704823182
34,24.4425530205748
35,31.32285163745526
36,33.10431526228747
37,30.741588317060504
38,27.430444207647426
39,30.523085151199354
40,25.33829174380451
41,24.216703107708938
42,31.41643471344333
43,28.312206557088437
44,37.58218155553409
45,29.06077481442717
46,20.172366797351145
47,29.088068290307653
48,15.436456828426328
49,32.50951962508017
50,33.626446078278406
51,25.58190729938189
52,26.75660995630095
53,22.620281448314373
54,24.923266202122022
55,27.79951653602736
56,30.520102291629
57,32.09680554745615
58,29.65809529449772
59,29.083945561373994
60,33.63086665453458
61,35.884294184946064
62,27.321663506404477
63,33.534074149586885
64,37.24964873403356
65,34.03924058931541
66,35.98266816754778
67,30.52235080545968
68,34.97386472706342
69,27.29259168656901
70,29.515674662849648
71,26.623323479132026
72,28.788388997183944
73,19.102764583517605
74,25.840323552986668
75,21.98452211223146
76,24.99631244303427
77,31.941781364522612
78,26.478465301086942
79,24.1500564279767
80,18.252943169281934
81,15.459156937349197
82,12.495858115174597
83,31.231792737309036
84,23.277426494149402
85,20.866498132678423
86,11.11049592040598
87,19.289538228013065
88,11.161925079289807
89,7.321870226362384
90,27.49024501792796
91,23.254427417295382
92,22.02903053395832
93,20.858174061477087
94,10.018966753297496
95,12.11804812278251
96,15.506909668588902
97,14.963945028820115
98,19.596056086712515
99,17.060674565581543
100,25.43733772698161
101,25.26647995960829
102,15.791327059673778
103,15.49512739637815
104,18.754070731386506
105,14.632540457271906
106,15.16145272442038
107,22.70560060102453
108,10.500929628240938
109,11.08077274414176
110,11.115028747482691
111,17.93995399128478
112,19.809052871464793
113,20.851752988450073
114,19.7713085289148
115,18.330511278780776
116,13.492940706249437
117,11.635905158143908
118,12.085339890115895
119,18.764803346083767
120,20.39440348567239
121,18.03055360534941
122,15.119871198226969
123,19.617493018381353
124,7.992261652142288
125,17.949489628984644
126,22.408839327810995
127,20.69364325497523
128,21.68302182715069
129,21.740238573108734
130,18.68649700552116
131,23.380995260414856
132,20.1946748150625
133,16.489300688422475
134,20.296124799211185
135,15.898333977362826
136,13.28362374910268
137,14.713902667968634
138,13.250748674611998
139,11.085180583914378
140,18.960568305813553
141,14.208238260660558
142,12.004051245424371
143,11.637768199118305
144,8.670752437327462
145,8.20790120144685
146,4.926263990922694
147,11.551747202953463
148,8.809710102299865
149,12.35236420800805
150,11.560144950554756
151,5.48620485207149
152,8.964704010350102
153,8.933078149146622
154,5.562628101236314
155,8.675638457638803
156,6.550973224679824
157,8.17009115604038
158,8.438960407275982
159,11.83213833810268
160,9.240045909453883
161,5.687160035275618
162,8.2204763502583
163,14.928281834542249
164,8.802628831141824
165,6.19683130216511
166,8.396306653666745
167,15.507621278548603
168,14.9518808214755
169,9.401890854626002
170,10.633893580850934
171,6.863911438620308
172,11.11834288099108
173,7.978823269257152
174,9.221303952875855
175,11.400482322651424
176,12.186511528931812
177,12.43288490703304
178,10.84301190285006
179,14.495683044801124
180,9.127106618242665
181,10.147912310722948
182,15.470936809673981
183,9.51064051565776
184,5.103720642361645
185,10.072589602293194
186,12.316750351540657
187,6.652879004539292
188,8.269262028143276
189,6.365056419970097
190,12.739266082059068
191,10.995127090587733
192,7.4959033966362725
193,7.426916112921294
194,9.132557440096079
195,11.5537097925867
196,9.595602176054745
197,14.685889967360898
198,5.061335596233102
199,7.04476605504763
200,8.908143942484658
201,7.1451728295459365
